0,1,2,3,4,5,6,7,8
김창재,203,김*재,23.11.21,30,[2024학년도 고3 대학수학능력시험 해설] 수학,감사합니다,선생님들께 감사드려요~~,스페셜
김창재,203,김*재,23.11.21,30,[2024학년도 고3 대학수학능력시험 해설] 수학,수능,"저는 1교시, 2교시 어려웠어요",5점
김창재,203,김*민,23.11.20,278,[2024학년도 고3 대학수학능력시험 해설] 수학,재수 생활을 함께한 EBS ! 그저 빛!!,"우선 감사의 말씀 드립니다.^^
고3 때 사설 강의만 들으면서 수학 공부 했었는데 작년 수능에서 68점을 받았어요..
6모, 9모때도 비슷한 성적을 계속 받았어서 재능이 없는 거라 생각했는데 
그래도 너무 아쉬워서 올해 부모님 설득해서 한번 더 도전하게 되었습니다.

올해는 사설 안 듣고 EBS만 계속 들었어요
수능개념부터 정종영 선생님, 남치열 선생님 강의 계속 들었었는데요.
6모때 72점. 9모때 84점이 나왔어요. 
너무 기뻣지만 9모가 다들 쉬었다고 해서 너무 들뜨지 않으려 노력했어요
계속 실모 풀면서 준비하다가 수능날 수학 시험이 너무 어렵게 느껴졌어요.
4개를 찍었는데 다행히 한개를 맞아서 88점이 나왔어요.
이게 모두 다 정종영 남치열 선생님 덕분입니다!!
주위 친구들 보니까 대부분 9모때는 많이 올랐다가 수능날 많이 떨어졌더라구요 
제가 노력한 결실을 보게 된 것 같아서 정말 기뻐요.
아직 국어 등급은 기다려봐야겠지만.. 수학을 1등급이라니 ㅠㅠ 처음받아보는 1등급이 수능이라니!!
정말 너무너무 감사드려요.

특히 종영샘!! 1년간 계속하면서 채점하자마자 선생님 생각이 가장 먼저 낫어요
처음으로 남기는 후기가 이런 기쁜 소식이라 꼭 말씀드리고 칭찬 받고 싶었는데..
왜 이번 수능 때는 해설강의에 없으신것인지...... ㅠㅠㅠㅠ 
무슨 일 있으신 것 아니죠?? 
제 글을 못 보실지도 모르지만, 정말 감사했습니다 
제가 힘들때마다 수학 공부하면서 힘을 낼 수 있었던 것도 
수학 공부가 재미있다는 것을 알게 된 것도 모두 선생님 덕분이예요 
EBS에 계셔주셔서 감사합니다. ",5점
김창재,203,이*희,23.10.24,18,[2024 파이널 체크포인트] 기하,감사합니다,감사합니다,스페셜
김창재,203,김*재,23.10.24,25,[2024 파이널 체크포인트] 기하,파이널,강의에 감사드려요,스페셜
김창재,203,김*재,23.10.23,26,[2024 파이널 체크포인트] 기하,첫글,첫글입니다,5점
김창재,203,권*용,23.07.14,57,[2024 수능완성] 김창재의 수학+기하,선생님 화이팅, 네~ ,5점
김창재,203,김*은,23.07.10,97,[2024 FINAL 실전모의고사] 수학+미적분+기하,지나쌤강의력!,"서지나선생님의 공통과목 강의가

정말 좋은것같아요!

너무 예쁘신데 강의하실 땐 카리스마도 좀 느껴져요^^

귀에 쏙쏙 설명도 잘해주시고

올해 처음 들어보는데 추후 다른 강좌에서도 뵜으면 좋겠어요!!!",5점
김창재,203,김*정,23.05.21,93,[2024 FINAL 실전모의고사] 수학+미적분+기하,2강,학습했어요,5점
김창재,203,김*정,23.05.20,78,[2024 FINAL 실전모의고사] 수학+미적분+기하,1강,1강 학습했어요,5점
