0,1,2,3,4,5,6,7,8
차해나,815,김*리,23.11.12,66,[2024 파이널 체크포인트] 차해나의 독서,결국 완강해버렸어요!!,"안녕하세요!

일주일 전에 완강 못할거같다고 했던 학생이에요ㅎㅎ

선생님이 주신 내신용 자료까지 합해서 강좌 없이 공부할까, 아니면 내신용 자료는 접어두고 파이널체크만 들을까 고민을 많이 했는데 선택과 집중으로 후자를 골랐어요.

선생님이 골라주신 제재중에서 쏙쏙 골라 나올 거라고 믿으면서요!!

덕분에 마음이 좀 든든해진 느낌이에요.

제가 비문학 제재 기억력이 별로 좋은 편은 아니라 배운 것 전부를 가지고 도움닫기를 할 수는 없겠지만,

한 계단 두 계단의 도움만 있어도 잘 볼 수 있을 거라고 저를 믿기로 했어요.

큰 도움 주셔서 정말 감사합니다 선생님!

6평 만점 9평 98점 맞았으니 수능 국어도 만점 쟁취해올게요!!❤️",스페셜
차해나,815,김*리,23.11.06,189,[2024 파이널 체크포인트] 차해나의 독서,안녕하세요 선생님 질문 드릴 게 있습니다!,"현재 수능까지 할 일이 너무 많은데,

선생님께서 전에 올려주신 풀버전 자료는 강의 없이 혼자 풀고,

새로 올려주신 것들도 이해 안 되는 부분만 발췌해서 수강해도 될까요?

선생님의 정성 어린 강의까지 완강하고 수능장에 갈 수 있음 좋겠지만, 시간 관계상 강의 들을 시간이 너무 없어서요ㅜㅜ…

별개로, 정말 깔끔하고 좋은 자료 너무 감사드려요. 도움이 많이 될 것 같아요! 늘 행복하세요.",5점
차해나,815,박*희,23.11.06,55,[2024 파이널 체크포인트] 차해나의 독서,감사합니다 !!,"해나쌤 덕분에 열심히 연계 공부하고 있어요 ! 

그런데 연계 지문들을 어느 정도까지 공부해야하는지 궁금해요!
정의나 특징까지 암기해야할까요 아님 대략적인 주제와 내용만 알고 들어가야 할까요..?..!! 
연계를 체감할 수 있으려면 어느 정도까지 파고들어야 하는지 잘 모르겠어요…..

그리고 해나선생님!! 
이렇게 좋은 자료 만들어주시고 좋은 강의해주셔서 정말 .. 정말 감사드려요 !!ㅎㅎ
수특, 수완 지문 분석하고 연계 가능성 있는 지문들을 추리는 게 정말… 상상만 해도 쉽지 않은 일이라고 생각되는데… 이렇게 의미있는 강의 자료까지 만들어주셔서 말로 표현할 수 없을 만큼 감사드려요…..! 


좋은 자료와 좋은 수업 감사드려요!!",스페셜
차해나,815,차*영,23.11.05,153,[2024 파이널 체크포인트] 차해나의 독서,자료 다시 올려주시면 감사하겠습니다.,"수능 마지막 1주일 간 선생님 강의 및 자료를 통해 마무리 정리를 하려고 한 학생입니다.

그런데 자료가 갑자기 다 내려가서 당황스럽습니다.
물론,자료실은 선생님의 권한이긴 하지만 
최소한 언제 내릴지 알려주셨으면 미리 다운 받았을텐데, 그렇게 하지 못했습니다.

다시 자료실에 full 자료 올려 주시면 감사하겠습니다

항상 좋은 강의 감사합니다.",5점
차해나,815,김*훈,23.11.05,179,[2024 파이널 체크포인트] 차해나의 독서,자료,"안녕하세요 선생님
약점공략에 있던
9평 전 마지막으로 봐야 하는 지문
주석 해설서 내리셨던데
제발 다시 올려주세요

인간적으로 수능 끝나고 자료를
내리던지 해야지
지금 10일 남겨놓고 중요한 자료들을
다 내리는게 맞다고 생각하시나요??

수특은 복습 완료했고
수완만 주석해설서랑 같이 마무리하고 끝낼려고 했는데
원래 있던 자료를 다 내려버리시면ㅡㅡ
마무리 공부계획에 너무 큰 차질이 생기네요..

수능 10일 남겨놓고 이런식으로 운영하는건 정말 아닌 것 같습니다.

이전에 올렸던 자료 다시 올려주세요!!
공부는 수험생이 취사선택해서 알아서 하는거죠
무슨 기준으로 이것저것 하지 말라면서 
이전 자료를 내리는지 몰겠습니다.

알아서 취사선택해서 필요한 것 만 가져갈테니
이전 자료 올려주세요

애진작에 연계 트렌드가 지문 알고 있으면 독서 한문단은 먹고 들어가는건데
핵심 요약 읽어서 무슨 의미가 있는지 몰겠습니다.
지문 자체를 다 읽어야지 도움이 되죠ㅡㅡ
  저는 핵심요약집 필요 없습니다.
약점공략에 있던 9평 전 복습해야할 지문에 있는 수완 주석해설서를 원합니다.

당장 올려주시면 감사하겠습니다.

다시 한번 말씀드리지만
수능 10일전에 내릴거면 아예 올리지를 말았어야 한다고 생각합니다.
이미 올렸던 자료는 다시 올려주시면 감사하겠습니다.",1점
차해나,815,김*훈,23.11.05,257,[2024 파이널 체크포인트] 차해나의 독서,자료 다 어디갔어요??,"10일 남았는데
갑자기 자료를 내리시면
어떡합니까??

미리 공지라도 하던지
갑자기 이 강의뿐만 아니라
모든강의 자료 다 없애면
머 어떻게 마무리
공부하라는건가요??

자료도 없이 강의만
들으라는건가요? 복습은요?

10일 남겨놓고 어이가 없습니다.",1점
차해나,815,최*기,23.11.05,50,[2024 파이널 체크포인트] 차해나의 독서,안녕하세요 자료 질문있어요,자료실에 봐도 없는데 어디에서 다운 받을 수 있나요?,5점
차해나,815,정*종,23.11.04,73,[2024 파이널 체크포인트] 차해나의 독서,교재 순서와 강의 순서,"프린트해서 스업 들으려고 했는데 대체 어디를 수업하시는 거고 왜 프린트에는 해당 내용이 없는 건지 모르겠네요..
프린트는 자습용인가요 ??",4점
차해나,815,이*현,23.11.01,89,[2024 파이널 체크포인트] 차해나의 독서,수업 자료,"선생님 파이널 체크포인트 자료실에 있는 자료가 너무 방대하단데 혹시 수업 내용만 들어있는 정리본은 없을까요,,?",5점
차해나,815,이*경,23.10.29,70,[2024 파이널 체크포인트] 차해나의 독서,감사합니다...,"좋은 강의 찍어주셔서...
감사합니다...
도움이 많이 되었어요..",스페셜
차해나,815,정*원,23.10.29,54,[2024 파이널 체크포인트] 차해나의 독서,차해나 샘 안녕하세요~,"선생님 저는 올해 24수능을 치는 학생인데요! 2학년 때, 차해나 선생님이랑 같이 독서 공부를 했던 학생이예요! 2학년 때 차해나 선생님이랑 같이 올림포스 기출문제를 풀어본 덕분에 제가 여기까지 오지 않았나 싶어요. 비록 차해나의 기밀 유출 강의에서는 윤혜정 선생님이 저와 더 잘 맞을 거라고 생각이 들어서 윤혜정 선생님 강의를 들으러 떠났어요! 그래도 내신만점 수능특강, 약점공략, 파이널 체크포인트에서 선생님이 출제자 시선으로 다시한 번 알려주신 덕에 비문학에 대한 두려움이 조금씩 사라져서 비문학에 자신감이 생긴 만큼 24수능도 열심히 잘 보고 오겠습니다! ",5점
차해나,815,서*우,23.10.28,43,[2024 파이널 체크포인트] 차해나의 독서,과학기술 질문,"안녕하세요! 과학기술한장정리 자료에 답이 없는 문제가 있어서요ㅠ질문이 많은점 양해부탁드려요ㅠ

1. 2쪽-전제 3의 ㅅㅊ
2. 3쪽-서로의 목표를 ㅈㅎ함
3. 7쪽-대뇌피질에 대한 빈칸들
4. 35쪽-25,26번 각각 X아닌가요?
5. 39쪽-물체의 ㅇㄷ=~~",5점
