0,1,2,3,4,5,6,7,8
김민재,869,정*향,23.11.18,7,[올림포스 전국연합학력평가 기출문제집] 수학Ⅱ,1강,1강,5점
김민재,869,강*수,23.10.15,166,[2023학년도 고3 10월 학력평가 해설] 수학,수강 후기,"좋은 강의 감사합니다!
22번 인수분해를 못 해서 틀렸는데 엄청 아쉽네요 ㅠㅠ..
문제 풀이에서 실수가 너무 잦은데, 수능까지 실모 연습 하면서 실수 줄이기 빡세게 해야겟어요.. 감사합니다!",5점
김민재,869,박*민,23.10.15,205,[2023학년도 고3 10월 학력평가 해설] 수학,D-30 조언부탁드립니다,"미적러입니다… 6모 높은4등급 9모 3등급(턱걸이) 맞고 10모 2(턱걸이) 맞았는데요 (실력이 올랐다는 느낌은 별로 안들고 그냥 시간 분배에 초점을 두고 실모 연습한 결과인것같습니다)
물론 10모 등급은 재학생끼리의 가짜등급(?) 이라 전혀 뿌듯하지 않고 사실 오히려 더 불안합니다…

수능때 2등급 꼭 맞고싶은데 지금 한달남은 시점에서 뭘 해야하는지 조언 부탁드립니다.. 기출을 한번 더 돌릴까 생각도 했는데 출제경향이 크게 바뀌는 요즘에 기출이 큰 의미가 있을까요? 아니면 1일1실모를 풀지 수특수완을 한번 더 풀지… 아니면 다른 걸 해야하는지 알려주세여 ㅠㅠ

현재는 스스로 3등급따리라고 생각하고 있지만.. 사설인강 안들어도 수능 2이상 맞을 수 있다는 걸 보여주고싶습니다 끝으로 모든 이비에스 선생님들의 좋은 강의 항상 감사드립니다!! ",5점
김민재,869,박*혁,23.10.14,325,[2023학년도 고3 10월 학력평가 해설] 수학,요즘 트렌드는 킬러 배제하는 대신 계산량 증가인 것 같네요.,"확실히 지난해 수능 수학들에 비해 공통 과목의 결이 많이 달라졌습니다.

1. 초반 몇 문제의 난도가 소폭 상향되고, 계산량 또한 늘어났다.

2. 객관식 후반 문제의 난도가 하향되고, 계산 또한 어느 정도 간단명료해졌다.

3. 주관식 문제의 경우, 아예 손도 못 대는 문제는 거의 없어졌지만, 전반적으로 계산량을 늘려 실수를 유도했다.",5점
김민재,869,송*영,23.09.09,266,[2024학년도 고3 9월 모의평가 해설] 수학,공부 방법 질문,"안녕하세요. 앞으로의 공부 방향에 대해 질문드리고 싶습니다.
미적분을 선택했고 61점(틀린문항-9,11,13,14,19,20,21,22,28,30)을 받았습니다.
지금까지는 평가원 기출문제를 풀었고 사설 실전개념강의를 듣는 중이었습니다. 
수능특강, 수능완성을 가볍게 훑기만 했는데 연계교재를 다시 한번 보고 무엇을 해야 할까요? 지금 듣고 있는 실전 개념 강의를 계속 듣는게 맞는지 어떤 문제들을 중심적으로 풀어야 할지 고민입니다.
감사합니다.",5점
김민재,869,이*영,23.09.08,309,[2024학년도 고3 9월 모의평가 해설] 수학,"선생님, 수학 시험과 관련해서 질문 있습니다!","안녕하세요 선생님! 
다름이 아니라 수학 모고 시간 분배에 대해서 여쭤보고 싶은 게 있어서요ㅠ

제가 어제 9모에서
1번~12번(약 35분)
13번(10분 정도 풀다가 답이 안 나와서 패스ㅠ)
단답형 16번~20번(15분) 
확률과 통계 23~29번 (30분)
30번(5분 고민하다가 마킹ㅠ)

해서 14,15,21,22번은 손도 못 대고 시험이 끝났습니다ㅠ

결과는 확률과 통계 29번 틀리고, 1문제를 찍어서 맞추면서 총 76점이 나왔습니다ㅠ

4점짜리 문제를 2문제 정도는 더 풀고 싶은데, 보통 시간 분배가 어느 정도가 되면 적당한지, 저의 과정 중에 시간이 너무 많이 걸리는 부분이 어딘지 조언해주시면 감사하겠습니다!",5점
김민재,869,강*지,23.09.08,287,[2024학년도 고3 9월 모의평가 해설] 수학,안녕하세요 ebs로 많은 도움을 받고 있습니다! (공부방향에 대해서 여쭤볼게 있습니다ㅜㅜ)!,"안녕하세요! 답답했던 것들이 강의로 정말 도움 됐어요 감사합니다! 
+ 제가 9평때 확통 69점을 받았는데 (11,13,14,15,21,22,29,30 못풀었습니다..) 앞으로 무엇을 공부해야될지 감이 안잡히네요ㅜ 혹시 공부 방향을 여쭤봐도 된다면 남은기간 무엇을 하면 좋을까요? 현장에서 11번 빼고는 어떻게 풀어야되는지 전혀 생각이 안나고 턱 막혀버렸어요ㅜ",5점
김민재,869,박*민,23.09.07,406,[2024학년도 고3 9월 모의평가 해설] 수학,9모 후기,"안녕하세요

9모 끝나자마자 해설 강의 찍어 올리시느라고 고생하셨어요

저는

원점수 97점 받았어요.........ㅋㅋㅋ

해설강의 듣고 다시 수강후기 쓰겠습니다",5점
김민재,869,안*이,23.09.07,305,[2024학년도 고3 9월 모의평가 해설] 수학,종영샘 민재샘 감사합니다^^,"일케 빨리 해설강의 올려주시다니 감동입니다!
샘들께서 해주시는 강의내용들 잘 기억하면서
끝까지 가겠습니다.
수험생보다  더 치열하신 샘들 모습이 큰 힘이되고 자극도 됩니다.
선생님! 감사합니다. ",스페셜
김민재,869,강*성,23.06.06,338,[2024학년도 고3 6월 모의평가 해설] 수학,28번 복잡한 함수 미분하지 않고 답 구하기,"미분을 통해 구하라는 것이 평가원의 의도 및 옳게된 방향이었으나,

미분하기엔 합성함수 미분이 너무 들어가 다른 학생 친구들도 헷갈리지 않을까..?

그렇기에 다른 방법으로 접근 해봤습니다.

다음 방법은 사잇값 정리로 부족한 논리적 설명이 채워질 것 같습니다! (함수 f(x)가 연속이고, f(0)=-1/2, f(2)=-3/2 이므로 사잇값정리에 의해 f(x)=-1의 근이 열린구간 (0,2)에 적어도 하나 존재한다.)

혹시 선생님의 견해는 어떠하신 가요? ",5점
김민재,869,강*수,23.06.05,197,[2024학년도 고3 6월 모의평가 해설] 수학,수강 후기,감사합니다!,5점
김민재,869,한*희,23.06.02,487,[2024학년도 고3 6월 모의평가 해설] 수학,김민재선생님 미적분 28번에요,"우변의 g(x)가 미분가능하다는건 알겠는데, 미분하고 =0으로 두는 이유는 뭔가요?",5점
김민재,869,전*나,23.04.02,110,[2024 수능특강] 김민재의 미적분,7단원 숙제입니다,선생님 드디어 완강하고 마지막 숙제까지 끝냈어요 ! 수능특강 책을 처음 폈을 때 언제 다 끝낼 수 있을까 했는데 강의 들으면서 천천히 따라가다보니 벌써 마지막 장까지 다 풀었네요 지금은 틀렸던 문제 복습도 하고 기출문제 열심히 풀고 있습니다 수학이 늘 3등급에서 멈춰 아쉽지만 더 노력해서 올해 수능은 2등급까지 올릴 거예요 ㅎㅎ수능완성에서 또 만났으면 좋겠어요 좋은 강의 수강하게 해 주셔서 감사합니다 :),5점
