0,1,2,3,4,5,6,7,8
안국선,296,김*재,23.11.21,30,[2024학년도 고3 대학수학능력시험 해설] 수학,감사합니다,선생님들께 감사드려요~~,스페셜
안국선,296,김*재,23.11.21,29,[2024학년도 고3 대학수학능력시험 해설] 수학,수능,"저는 1교시, 2교시 어려웠어요",5점
안국선,296,김*민,23.11.20,276,[2024학년도 고3 대학수학능력시험 해설] 수학,재수 생활을 함께한 EBS ! 그저 빛!!,"우선 감사의 말씀 드립니다.^^
고3 때 사설 강의만 들으면서 수학 공부 했었는데 작년 수능에서 68점을 받았어요..
6모, 9모때도 비슷한 성적을 계속 받았어서 재능이 없는 거라 생각했는데 
그래도 너무 아쉬워서 올해 부모님 설득해서 한번 더 도전하게 되었습니다.

올해는 사설 안 듣고 EBS만 계속 들었어요
수능개념부터 정종영 선생님, 남치열 선생님 강의 계속 들었었는데요.
6모때 72점. 9모때 84점이 나왔어요. 
너무 기뻣지만 9모가 다들 쉬었다고 해서 너무 들뜨지 않으려 노력했어요
계속 실모 풀면서 준비하다가 수능날 수학 시험이 너무 어렵게 느껴졌어요.
4개를 찍었는데 다행히 한개를 맞아서 88점이 나왔어요.
이게 모두 다 정종영 남치열 선생님 덕분입니다!!
주위 친구들 보니까 대부분 9모때는 많이 올랐다가 수능날 많이 떨어졌더라구요 
제가 노력한 결실을 보게 된 것 같아서 정말 기뻐요.
아직 국어 등급은 기다려봐야겠지만.. 수학을 1등급이라니 ㅠㅠ 처음받아보는 1등급이 수능이라니!!
정말 너무너무 감사드려요.

특히 종영샘!! 1년간 계속하면서 채점하자마자 선생님 생각이 가장 먼저 낫어요
처음으로 남기는 후기가 이런 기쁜 소식이라 꼭 말씀드리고 칭찬 받고 싶었는데..
왜 이번 수능 때는 해설강의에 없으신것인지...... ㅠㅠㅠㅠ 
무슨 일 있으신 것 아니죠?? 
제 글을 못 보실지도 모르지만, 정말 감사했습니다 
제가 힘들때마다 수학 공부하면서 힘을 낼 수 있었던 것도 
수학 공부가 재미있다는 것을 알게 된 것도 모두 선생님 덕분이예요 
EBS에 계셔주셔서 감사합니다. ",5점
안국선,296,박*혁,23.10.14,326,[2023학년도 고3 10월 학력평가 해설] 수학,요즘 트렌드는 킬러 배제하는 대신 계산량 증가인 것 같네요.,"확실히 지난해 수능 수학들에 비해 공통 과목의 결이 많이 달라졌습니다.

1. 초반 몇 문제의 난도가 소폭 상향되고, 계산량 또한 늘어났다.

2. 객관식 후반 문제의 난도가 하향되고, 계산 또한 어느 정도 간단명료해졌다.

3. 주관식 문제의 경우, 아예 손도 못 대는 문제는 거의 없어졌지만, 전반적으로 계산량을 늘려 실수를 유도했다.",5점
안국선,296,문*웅,23.10.18,99,[2024 만점마무리 시즌2] 수학,3회 공통 22번 해설 자세해서 좋아요,"쌤 3회 공통 22번 해설 너무 자세하게 가르쳐 주셔서 감사합니다.  기출,사설에서 여러번 봤었는데 다시 복습하는 차원에서 좋았어요

항상 좋은 강의 감사합니다!!!!!!!",스페셜
안국선,296,김*재,23.10.15,82,[2024 만점마무리 시즌2] 수학,1강,열공하였습니다,5점
안국선,296,김*재,23.10.13,78,[2024 만점마무리 시즌2] 수학,수강,시작합니다,5점
안국선,296,이*영,23.09.18,284,[2024 만점마무리 시즌2] 수학,예뻐서,좋다,스페셜
안국선,296,변*윤,23.09.14,284,[2024 만점마무리 시즌2] 수학,모든선생님께~),"선생님저*윤이에요.  )전 고2에요.
선생님 즐거운하루/저녁보내세요.~^^~ )",5점
안국선,296,강*성,23.06.06,339,[2024학년도 고3 6월 모의평가 해설] 수학,28번 복잡한 함수 미분하지 않고 답 구하기,"미분을 통해 구하라는 것이 평가원의 의도 및 옳게된 방향이었으나,

미분하기엔 합성함수 미분이 너무 들어가 다른 학생 친구들도 헷갈리지 않을까..?

그렇기에 다른 방법으로 접근 해봤습니다.

다음 방법은 사잇값 정리로 부족한 논리적 설명이 채워질 것 같습니다! (함수 f(x)가 연속이고, f(0)=-1/2, f(2)=-3/2 이므로 사잇값정리에 의해 f(x)=-1의 근이 열린구간 (0,2)에 적어도 하나 존재한다.)

혹시 선생님의 견해는 어떠하신 가요? ",5점
